customer_id,gender,senior_citizen,partner,dependents,tenure_months,internet_service,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
C100047,Female,0,0,0,1,DSL,Month-to-month,1,Credit card,78.43,89.71,1
C100048,Male,0,1,0,19,None,Month-to-month,1,Mailed check,23.03,433.25,0
C100049,Female,1,1,1,62,Fiber optic,One year,1,Electronic check,93.64,5771.17,0
C100050,Female,0,0,1,55,Fiber optic,Month-to-month,1,Electronic check,87.7,4879.47,0
C100051,Female,0,0,1,24,Fiber optic,Month-to-month,0,Electronic check,81.31,1924.76,0
C100052,Male,0,1,0,22,Fiber optic,Month-to-month,0,Bank transfer,82.3,1793.85,1
C100053,Male,0,0,0,25,Fiber optic,One year,0,Credit card,96.49,2382.26,0
C100054,Male,0,1,1,8,DSL,Month-to-month,0,Bank transfer,67.01,550.15,0
C100055,Male,0,0,1,11,DSL,Month-to-month,1,Mailed check,61.02,654.48,1
C100056,Female,0,0,1,72,Fiber optic,Month-to-month,0,Electronic check,68.6,4992.23,0
C100057,Male,0,0,1,50,None,Month-to-month,0,Bank transfer,27.44,1390.69,0
C100058,Female,0,1,1,49,Fiber optic,One year,0,Electronic check,75.03,3666.78,0
C100059,Female,0,1,0,20,None,Month-to-month,1,Electronic check,31.31,594.36,0
C100060,Male,0,1,0,62,Fiber optic,Month-to-month,0,Electronic check,79.29,4912.11,0
C100061,Female,0,0,1,12,Fiber optic,Month-to-month,0,Credit card,80.12,979.64,0
C100062,Male,0,1,0,70,Fiber optic,One year,1,Mailed check,81.9,5731.39,0
C100063,Male,0,0,0,36,DSL,Month-to-month,0,Credit card,68.16,2448.85,1
C100064,Male,1,1,0,24,Fiber optic,Month-to-month,1,Mailed check,72.87,1713.16,0
C100065,Male,0,1,0,54,DSL,One year,0,Bank transfer,65.9,3637.11,0
C100066,Male,0,0,1,30,Fiber optic,One year,1,Credit card,89.74,2685.16,0
C100067,Female,0,1,1,19,DSL,Month-to-month,1,Credit card,61.42,1118.87,0
C100068,Female,0,0,0,49,None,Month-to-month,0,Electronic check,21.42,1011.95,0
C100069,Female,0,0,0,52,Fiber optic,Month-to-month,1,Electronic check,90.89,4714.24,1
C100070,Female,0,1,0,44,Fiber optic,Two year,0,Electronic check,81.48,3653.19,0
C100071,Female,0,1,1,33,Fiber optic,Month-to-month,0,Mailed check,81.41,2680.57,0
C100072,Male,0,0,0,24,DSL,Month-to-month,1,Electronic check,62.51,1487.12,0
C100073,Female,0,1,0,29,Fiber optic,Month-to-month,1,Bank transfer,100.76,2951.6,1
C100074,Female,1,0,0,63,Fiber optic,Month-to-month,0,Mailed check,72.9,4624.82,1
C100075,Female,0,1,0,26,Fiber optic,Two year,1,Credit card,91.01,2389.33,0
C100076,Female,0,1,0,70,Fiber optic,Month-to-month,0,Credit card,83.86,5877.2,0
C100077,Male,0,0,1,10,Fiber optic,Month-to-month,0,Bank transfer,83.24,793.75,0
C100078,Male,0,1,0,11,DSL,One year,0,Bank transfer,47.78,499.29,0
C100079,Male,0,1,0,24,Fiber optic,One year,1,Electronic check,72.95,1695.12,0
C100080,Male,0,0,0,0,DSL,Two year,1,Electronic check,64.72,56.88,0
C100081,Female,0,0,0,64,None,One year,1,Mailed check,18.0,1137.14,0
C100082,Male,0,0,0,24,None,Month-to-month,1,Credit card,35.13,824.62,1
C100083,Female,0,1,1,7,Fiber optic,Month-to-month,1,Electronic check,78.87,561.86,1
C100084,Female,1,1,0,45,DSL,Two year,0,Mailed check,64.41,2875.45,0
C100085,Female,0,1,1,69,Fiber optic,One year,0,Credit card,80.39,5534.99,0
C100086,Male,0,1,0,72,Fiber optic,Month-to-month,1,Electronic check,82.01,5887.7,0
C100087,Female,0,1,1,7,Fiber optic,Month-to-month,0,Credit card,77.69,542.72,1
C100088,Female,1,0,0,57,Fiber optic,Month-to-month,0,Credit card,88.49,5056.69,0
C100089,Male,0,0,0,26,Fiber optic,Month-to-month,0,Electronic check,90.72,2311.66,1
C100090,Female,0,1,0,61,DSL,One year,0,Bank transfer,57.48,3522.14,0
C100091,Male,0,0,0,44,Fiber optic,One year,1,Electronic check,91.73,4045.37,0
C100092,Female,0,0,0,53,DSL,Month-to-month,1,Mailed check,62.1,3305.95,0
C100093,Female,0,1,1,61,Fiber optic,Two year,1,Credit card,76.33,4660.79,0
C100094,Female,1,1,0,65,Fiber optic,Two year,1,Electronic check,90.03,5864.6,0
C100095,Male,0,1,1,10,DSL,Month-to-month,1,Credit card,59.6,581.45,0
C100096,Female,0,0,1,52,DSL,Month-to-month,0,Credit card,39.09,2048.2,1
C100097,Female,0,1,0,10,None,Two year,1,Bank transfer,23.87,278.76,0
C100098,Female,0,0,1,68,Fiber optic,Month-to-month,0,Mailed check,71.45,4841.26,0
C100099,Male,1,0,0,45,Fiber optic,Two year,1,Electronic check,77.15,3455.68,1
C100100,Male,0,1,0,14,Fiber optic,Month-to-month,1,Mailed check,85.01,1212.21,0
C100101,Male,0,1,0,21,Fiber optic,One year,0,Electronic check,84.4,1753.01,0
C100102,Female,0,1,1,65,Fiber optic,Month-to-month,1,Electronic check,80.32,5195.63,0
C100103,Male,0,1,0,47,Fiber optic,Month-to-month,1,Electronic check,91.22,4302.12,0
C100104,Male,0,1,0,16,DSL,One year,1,Bank transfer,61.08,962.21,0
C100105,Male,0,0,0,59,Fiber optic,Month-to-month,0,Electronic check,81.61,4857.75,1
C100106,Female,0,0,0,52,DSL,Month-to-month,0,Electronic check,60.35,3121.88,1
C100107,Female,0,1,0,5,None,Month-to-month,1,Bank transfer,36.64,154.53,0
C100108,Female,0,1,0,20,Fiber optic,Month-to-month,1,Electronic check,69.8,1395.83,1
C100109,Male,0,0,1,61,DSL,Month-to-month,0,Electronic check,70.4,4309.64,1
C100110,Female,0,0,0,25,Fiber optic,Month-to-month,1,Electronic check,82.07,2062.96,1
C100111,Female,0,0,0,2,DSL,Month-to-month,1,Electronic check,55.77,130.4,1
C100112,Female,0,0,1,44,Fiber optic,Month-to-month,0,Electronic check,81.78,3578.96,1
C100113,Male,1,1,1,65,None,Month-to-month,0,Electronic check,18.0,1209.74,0
C100114,Female,0,0,0,40,Fiber optic,Two year,0,Mailed check,76.68,3009.26,0
C100115,Male,1,0,0,71,Fiber optic,Month-to-month,0,Electronic check,91.77,6488.34,1
C100116,Male,0,1,0,8,Fiber optic,One year,0,Electronic check,86.28,691.58,1
C100117,Male,0,1,1,48,Fiber optic,Month-to-month,0,Bank transfer,69.66,3319.28,0
C100118,Female,0,0,0,47,DSL,Month-to-month,1,Bank transfer,67.39,3156.49,1
C100119,Male,0,0,0,71,Fiber optic,Month-to-month,1,Mailed check,91.23,6442.97,1
C100120,Male,0,0,0,38,Fiber optic,Month-to-month,1,Credit card,75.12,2847.27,0
C100121,Male,0,0,0,60,DSL,Month-to-month,0,Credit card,61.44,3702.61,0
C100122,Female,0,0,0,10,DSL,One year,1,Bank transfer,66.96,650.86,0
C100123,Female,0,0,1,3,DSL,Month-to-month,0,Mailed check,47.17,110.75,0
C100124,Female,0,0,0,52,DSL,Month-to-month,1,Electronic check,64.28,3326.43,0
C100125,Female,0,0,0,0,DSL,Two year,0,Mailed check,54.6,93.24,0
C100126,Female,0,0,1,63,Fiber optic,Month-to-month,1,Bank transfer,91.34,5792.77,0
C100127,Female,0,1,0,1,Fiber optic,One year,1,Credit card,79.53,62.8,0
C100128,Female,1,0,0,50,Fiber optic,Month-to-month,1,Credit card,95.34,4784.79,0
C100129,Male,1,0,0,32,DSL,Month-to-month,1,Electronic check,60.05,1920.96,1
C100130,Female,0,1,1,47,Fiber optic,Month-to-month,1,Credit card,82.08,3902.7,0
C100131,Male,0,0,0,45,Fiber optic,Month-to-month,1,Credit card,81.22,3661.6,0
C100132,Male,0,0,1,32,DSL,Month-to-month,0,Bank transfer,66.99,2136.63,1
C100133,Female,0,1,0,35,DSL,Two year,1,Credit card,56.21,2023.35,1
C100134,Male,1,1,0,36,Fiber optic,Month-to-month,0,Electronic check,93.48,3332.95,0
C100135,Female,0,0,0,49,DSL,Two year,0,Mailed check,61.71,3034.96,0
C100136,Male,0,1,0,51,DSL,Month-to-month,1,Credit card,50.92,2644.73,0
C100137,Female,0,1,0,32,Fiber optic,Month-to-month,1,Electronic check,87.21,2814.04,0
C100138,Male,0,0,1,25,Fiber optic,Month-to-month,0,Bank transfer,85.37,2107.55,1
C100139,Female,1,0,0,3,Fiber optic,Two year,1,Credit card,75.65,198.37,1
C100140,Female,0,0,0,56,None,Month-to-month,0,Credit card,25.07,1354.62,0
C100141,Female,0,1,1,16,Fiber optic,One year,1,Electronic check,91.34,1513.34,0
C100142,Male,0,0,0,31,Fiber optic,Month-to-month,1,Bank transfer,96.03,2937.28,0
C100143,Male,1,0,0,72,None,Two year,0,Electronic check,33.67,2449.21,0
C100144,Female,0,0,0,57,Fiber optic,Two year,0,Credit card,104.11,5884.34,0
C100145,Female,0,1,0,25,None,One year,1,Mailed check,27.0,764.5,0
C100146,Female,1,0,1,34,Fiber optic,One year,0,Bank transfer,89.43,2993.27,0
C100147,Male,0,0,1,23,DSL,Month-to-month,1,Credit card,57.15,1315.94,0
C100148,Female,1,0,0,45,DSL,Two year,1,Bank transfer,77.07,3510.57,1
C100149,Female,0,1,1,11,DSL,Month-to-month,0,Bank transfer,52.87,556.96,1
C100150,Male,0,0,0,69,Fiber optic,Month-to-month,1,Mailed check,101.71,7037.72,0
C100151,Male,0,1,1,72,DSL,Two year,1,Bank transfer,75.69,5439.82,0
C100152,Female,0,0,1,21,Fiber optic,One year,0,Bank transfer,78.72,1666.71,0
C100153,Male,0,0,0,16,Fiber optic,Month-to-month,1,Credit card,95.29,1562.47,0
C100154,Female,0,0,0,39,Fiber optic,One year,0,Electronic check,88.65,3442.36,0
C100155,Male,0,0,1,47,Fiber optic,Month-to-month,0,Electronic check,81.7,3892.29,0
C100156,Female,0,0,0,46,DSL,Month-to-month,1,Mailed check,60.91,2814.2,1
C100157,Male,0,1,0,3,DSL,Month-to-month,1,Electronic check,64.12,260.56,1
C100158,Male,0,0,0,51,Fiber optic,Two year,1,Credit card,89.89,4555.27,0
C100159,Male,0,1,0,4,Fiber optic,One year,1,Bank transfer,98.95,373.33,0
C100160,Female,1,0,0,24,Fiber optic,Two year,1,Electronic check,91.57,2189.55,1
C100161,Male,1,1,0,52,Fiber optic,Month-to-month,0,Bank transfer,78.84,4057.24,1
C100162,Female,0,0,1,64,Fiber optic,Two year,1,Electronic check,92.95,5981.21,0
C100163,Female,0,1,0,46,Fiber optic,Month-to-month,1,Bank transfer,73.02,3356.27,0
C100164,Male,0,0,0,11,DSL,Month-to-month,1,Electronic check,58.91,607.9,0
C100165,Female,0,1,0,49,None,Two year,1,Electronic check,24.68,1180.52,1
C100166,Male,0,1,0,2,Fiber optic,One year,1,Electronic check,92.27,154.09,0
C100167,Male,0,1,0,16,Fiber optic,Two year,1,Mailed check,101.17,1651.05,0
C100168,Female,0,1,0,9,Fiber optic,One year,0,Bank transfer,86.74,796.66,1
C100169,Male,0,0,0,71,Fiber optic,Month-to-month,0,Bank transfer,82.11,5825.17,1
C100170,Female,0,0,0,26,DSL,Month-to-month,1,Electronic check,56.41,1453.87,1
C100171,Male,0,0,0,40,Fiber optic,Two year,0,Bank transfer,91.68,3658.84,0
C100172,Female,0,1,0,57,DSL,Month-to-month,0,Mailed check,58.44,3393.42,0
C100173,Male,0,0,1,70,Fiber optic,One year,1,Credit card,82.97,5799.71,1
C100174,Female,0,0,0,72,DSL,Month-to-month,0,Electronic check,67.61,4897.93,1
C100175,Female,0,1,1,11,DSL,Month-to-month,0,Bank transfer,69.35,751.32,0
C100176,Female,0,0,0,28,Fiber optic,Two year,1,Bank transfer,79.33,2280.13,0
C100177,Male,0,1,0,29,Fiber optic,Two year,0,Bank transfer,73.03,2075.2,0
C100178,Male,0,0,0,58,Fiber optic,Month-to-month,0,Mailed check,84.22,4913.01,1
C100179,Male,0,1,0,24,Fiber optic,Month-to-month,0,Electronic check,75.88,1794.54,0
C100180,Male,0,1,0,16,Fiber optic,Month-to-month,1,Electronic check,76.78,1305.95,1
C100181,Male,0,1,1,55,Fiber optic,Month-to-month,1,Credit card,78.67,4351.26,0
C100182,Male,0,0,1,36,Fiber optic,Two year,0,Bank transfer,93.37,3301.69,0
C100183,Female,0,0,0,54,DSL,Month-to-month,1,Bank transfer,67.2,3596.2,0
C100184,Male,0,0,1,27,Fiber optic,Month-to-month,0,Bank transfer,104.66,2849.8,0
C100185,Male,1,0,0,35,None,One year,1,Electronic check,21.86,788.12,0
C100186,Female,0,1,0,0,Fiber optic,One year,0,Electronic check,95.64,116.05,0
C100187,Female,0,0,1,1,None,Month-to-month,1,Bank transfer,30.95,36.43,0
C100188,Male,1,0,0,0,DSL,Two year,1,Electronic check,57.55,46.39,0
C100189,Female,0,0,0,12,Fiber optic,Month-to-month,1,Credit card,85.83,1068.0,1
C100190,Male,0,1,0,25,Fiber optic,Month-to-month,0,Electronic check,80.51,1982.5,0
C100191,Female,0,0,0,3,Fiber optic,Two year,1,Bank transfer,89.07,269.08,0
C100192,Female,0,0,0,11,Fiber optic,Month-to-month,0,Electronic check,92.89,1000.09,0
C100193,Male,0,0,0,61,DSL,Two year,1,Credit card,59.05,3577.55,0
C100194,Female,1,0,0,62,Fiber optic,One year,1,Credit card,93.79,5798.92,0
C100195,Female,1,1,1,21,Fiber optic,Two year,1,Electronic check,97.17,2014.84,1
C100196,Male,0,0,1,69,Fiber optic,Month-to-month,1,Mailed check,98.95,6846.79,1
C100197,Male,0,1,0,8,DSL,Month-to-month,1,Credit card,52.62,369.3,0
C100198,Female,0,1,0,2,DSL,Two year,1,Bank transfer,61.61,138.31,0
C100199,Female,0,1,0,25,None,Two year,0,Electronic check,30.68,744.8,0
C100200,Male,0,1,0,19,DSL,Two year,0,Credit card,51.31,975.95,1
C100201,Male,0,1,0,5,Fiber optic,Month-to-month,1,Mailed check,76.52,376.76,0
C100202,Male,0,0,0,61,DSL,One year,1,Electronic check,61.79,3751.72,1
C100203,Female,0,0,1,71,Fiber optic,Month-to-month,1,Credit card,83.7,5985.16,0
C100204,Female,0,1,0,19,Fiber optic,Month-to-month,1,Credit card,85.62,1613.8,0
C100205,Female,0,1,0,22,None,Month-to-month,1,Electronic check,23.23,535.68,0
C100206,Female,0,0,0,52,Fiber optic,One year,0,Mailed check,102.28,5343.63,1
C100207,Male,1,0,1,68,DSL,Month-to-month,0,Electronic check,56.31,3819.54,0
C100208,Female,0,0,0,20,DSL,Month-to-month,1,Credit card,66.69,1289.77,0
C100209,Male,0,0,1,49,DSL,One year,0,Credit card,64.15,3112.47,0
C100210,Male,0,0,1,1,Fiber optic,Two year,0,Credit card,71.49,116.25,0
C100211,Male,0,0,0,41,None,Month-to-month,1,Electronic check,38.73,1605.17,0
C100212,Female,1,0,0,72,DSL,Two year,0,Electronic check,65.01,4685.58,0
C100213,Male,1,1,0,34,Fiber optic,Two year,1,Bank transfer,88.26,2980.99,1
C100214,Male,0,1,0,46,Fiber optic,Month-to-month,1,Electronic check,95.46,4451.77,1
C100215,Male,0,1,0,50,Fiber optic,One year,1,Electronic check,86.62,4300.62,0
C100216,Female,0,1,0,46,Fiber optic,Two year,1,Electronic check,94.06,4331.65,1
C100217,Female,0,0,1,50,Fiber optic,One year,1,Bank transfer,71.99,3617.06,1
C100218,Male,0,0,0,64,DSL,Month-to-month,1,Bank transfer,68.54,4340.86,0
C100219,Female,0,1,0,0,Fiber optic,One year,1,Credit card,88.47,61.92,1
C100220,Female,0,1,0,64,Fiber optic,One year,0,Electronic check,86.59,5525.75,0
C100221,Female,0,1,0,66,Fiber optic,One year,0,Credit card,78.26,5195.33,1
C100222,Male,0,1,0,65,DSL,Month-to-month,1,Mailed check,60.25,3900.93,0
C100223,Male,0,1,0,26,Fiber optic,Month-to-month,1,Electronic check,85.02,2160.25,1
C100224,Female,0,1,0,42,None,One year,0,Bank transfer,18.0,702.37,0
C100225,Male,0,1,0,25,Fiber optic,Month-to-month,0,Credit card,87.87,2169.91,0
C100226,Female,0,1,0,61,DSL,Two year,0,Electronic check,72.59,4375.84,1
C100227,Male,0,0,1,29,None,Month-to-month,0,Credit card,18.0,548.9,0
C100228,Male,0,0,0,22,DSL,Two year,0,Bank transfer,63.92,1434.51,1
C100229,Female,0,0,1,50,Fiber optic,Month-to-month,1,Bank transfer,83.64,4182.25,0
C100230,Female,0,1,0,3,DSL,Two year,1,Credit card,57.71,163.92,0
C100231,Female,1,1,1,27,None,Two year,1,Bank transfer,27.6,771.16,0
C100232,Male,0,0,0,15,DSL,Month-to-month,1,Bank transfer,62.72,965.31,0
C100233,Male,0,0,0,27,Fiber optic,Month-to-month,0,Electronic check,86.48,2300.43,0
C100234,Male,0,1,0,32,None,Two year,1,Bank transfer,18.0,546.3,0
C100235,Male,0,0,1,4,Fiber optic,One year,1,Credit card,95.72,407.61,0
C100236,Female,0,1,0,63,DSL,Month-to-month,1,Credit card,62.65,3956.42,0
C100237,Male,0,0,0,30,DSL,Month-to-month,0,Credit card,64.75,1963.79,0
C100238,Female,0,0,1,26,DSL,Two year,1,Credit card,71.72,1833.43,1
C100239,Female,0,0,0,10,DSL,One year,1,Bank transfer,46.63,439.99,0
C100240,Male,0,0,0,72,Fiber optic,Month-to-month,0,Credit card,90.04,6499.12,0
C100241,Male,0,0,1,62,Fiber optic,Month-to-month,1,Electronic check,85.69,5288.91,1
C100242,Female,0,0,0,35,None,Month-to-month,0,Mailed check,33.15,1107.05,0
C100243,Male,0,0,1,24,Fiber optic,Two year,1,Bank transfer,80.59,1910.82,1
C100244,Male,0,0,1,34,None,Two year,1,Bank transfer,34.48,1165.14,0
C100245,Male,0,1,1,70,Fiber optic,Month-to-month,1,Bank transfer,78.56,5558.75,0
C100246,Male,0,0,1,16,Fiber optic,Month-to-month,1,Credit card,90.22,1414.17,0
C100247,Female,0,0,0,49,Fiber optic,Month-to-month,1,Credit card,89.27,4372.07,0
C100248,Female,0,0,0,65,Fiber optic,Month-to-month,1,Credit card,85.76,5645.9,0
C100249,Female,0,1,0,55,DSL,Two year,1,Credit card,53.74,2917.43,0
C100250,Male,0,1,1,63,None,One year,1,Credit card,24.05,1538.27,0
C100251,Male,0,1,0,69,Fiber optic,Month-to-month,1,Bank transfer,94.38,6487.34,0
C100252,Female,0,1,1,4,DSL,Month-to-month,1,Electronic check,73.9,309.66,1
C100253,Female,0,0,0,17,Fiber optic,Month-to-month,1,Credit card,102.63,1826.42,0
C100254,Female,0,1,0,10,DSL,One year,0,Electronic check,64.21,669.8,1
C100255,Male,1,0,0,41,Fiber optic,Month-to-month,1,Bank transfer,89.01,3654.73,1
C100256,Male,0,1,1,29,Fiber optic,Month-to-month,1,Electronic check,90.59,2593.82,1
C100257,Female,0,0,0,2,None,Two year,1,Bank transfer,42.43,78.72,0
C100258,Female,0,0,0,40,Fiber optic,Month-to-month,1,Electronic check,91.16,3626.61,0
C100259,Male,0,1,0,7,Fiber optic,One year,1,Bank transfer,87.7,563.13,0
C100260,Female,0,1,0,29,Fiber optic,Month-to-month,0,Credit card,82.8,2326.69,0
C100261,Male,0,1,1,26,None,Month-to-month,0,Electronic check,23.72,587.65,0
C100262,Female,0,0,0,65,Fiber optic,Two year,0,Electronic check,88.09,5724.75,1
C100263,Female,1,0,0,49,Fiber optic,Two year,0,Credit card,78.99,3909.69,0
C100264,Male,0,0,0,45,Fiber optic,One year,0,Electronic check,79.99,3573.71,0
C100265,Female,0,0,0,60,Fiber optic,Month-to-month,1,Bank transfer,86.49,5196.11,0
C100266,Female,0,0,0,13,Fiber optic,Month-to-month,0,Credit card,81.38,998.4,0
C100267,Female,1,0,0,18,None,Month-to-month,1,Bank transfer,31.77,543.85,0
C100268,Female,1,1,0,54,Fiber optic,Month-to-month,1,Electronic check,92.39,4903.4,0
C100269,Female,0,0,0,54,Fiber optic,Month-to-month,0,Bank transfer,87.1,4781.59,1
C100270,Female,1,1,0,1,DSL,Month-to-month,0,Credit card,63.92,70.85,1
C100271,Female,1,1,1,16,DSL,Month-to-month,0,Mailed check,60.94,980.86,0
C100272,Female,0,1,0,16,DSL,Month-to-month,1,Bank transfer,31.66,525.29,1
C100273,Male,1,0,0,0,DSL,Month-to-month,1,Electronic check,54.99,143.62,0
C100274,Male,0,0,0,48,Fiber optic,Month-to-month,1,Credit card,92.66,4432.45,1
C100275,Female,0,0,1,3,Fiber optic,Two year,1,Electronic check,80.29,206.54,1
C100276,Female,0,1,0,61,Fiber optic,Two year,1,Electronic check,93.84,5794.25,0
C100277,Male,0,0,1,42,Fiber optic,Month-to-month,1,Electronic check,94.29,3917.1,1
C100278,Male,0,0,1,55,DSL,Month-to-month,1,Credit card,59.88,3338.83,0
C100279,Male,0,1,1,36,Fiber optic,Two year,1,Bank transfer,82.28,2959.5,0
C100280,Female,1,1,1,70,DSL,Month-to-month,1,Electronic check,62.08,4360.77,0
C100281,Female,0,1,0,19,DSL,One year,0,Electronic check,59.65,1083.07,0
C100282,Female,1,0,1,40,None,Month-to-month,1,Credit card,32.02,1371.58,0
C100283,Female,0,1,1,0,DSL,One year,1,Electronic check,43.27,29.89,0
C100284,Male,0,0,0,60,Fiber optic,Month-to-month,1,Bank transfer,81.13,4843.25,0
C100285,Female,0,0,0,41,Fiber optic,One year,1,Bank transfer,78.9,3254.09,1
C100286,Female,0,1,1,12,Fiber optic,Month-to-month,0,Credit card,64.85,755.63,0
C100287,Female,0,1,0,59,Fiber optic,Month-to-month,1,Bank transfer,83.04,4914.22,0
C100288,Male,0,0,1,72,Fiber optic,Month-to-month,1,Credit card,75.0,5355.87,0
C100289,Female,0,0,0,5,Fiber optic,Month-to-month,1,Electronic check,83.9,424.6,1
C100290,Male,0,0,1,61,Fiber optic,Two year,0,Mailed check,81.1,4925.99,0
C100291,Female,0,1,0,53,None,Month-to-month,0,Electronic check,28.63,1489.97,0
C100292,Male,1,1,1,25,DSL,Month-to-month,0,Mailed check,58.0,1417.05,0
C100293,Female,0,0,0,46,Fiber optic,Month-to-month,0,Bank transfer,71.47,3318.63,0
C100294,Male,0,0,1,57,DSL,Month-to-month,1,Bank transfer,64.77,3679.63,0
C100295,Male,0,1,0,34,DSL,Two year,0,Credit card,79.36,2691.8,0
C100296,Male,1,1,0,48,None,Two year,1,Credit card,35.6,1723.75,0
C100297,Male,0,0,0,3,Fiber optic,Month-to-month,1,Electronic check,92.43,317.2,1
C100298,Male,0,1,0,67,DSL,Month-to-month,1,Bank transfer,60.44,4017.17,0
C100299,Male,0,1,1,67,Fiber optic,One year,1,Bank transfer,83.07,5573.41,1
C100300,Male,0,0,0,15,DSL,Month-to-month,1,Credit card,57.52,830.96,0
C100301,Female,0,1,0,34,Fiber optic,One year,1,Electronic check,88.93,3016.32,0
C100302,Male,0,1,1,17,Fiber optic,Month-to-month,0,Bank transfer,75.91,1327.75,0
C100303,Male,0,1,0,29,None,Month-to-month,1,Mailed check,28.76,751.93,1
C100304,Male,0,1,0,20,DSL,Month-to-month,1,Electronic check,56.69,1101.5,0
C100305,Female,0,1,0,62,Fiber optic,Month-to-month,0,Bank transfer,71.28,4411.26,1
C100306,Female,1,0,0,50,None,One year,1,Electronic check,21.58,1092.32,1
C100307,Male,0,0,1,61,None,Month-to-month,1,Electronic check,37.01,2300.3,0
C100308,Female,0,1,0,57,DSL,One year,0,Credit card,61.11,3423.87,0
